strain1,strain2,chr_num,start,end
JU1491,AB1,1,3130166,13022638
JU1568,AB1,1,3130166,13022638
JU311,AB1,1,7958172,13022638
JU323,AB1,1,2858470,13022638
JU367,AB1,1,7958172,13022638
JU394,AB1,1,3130166,13022638
JU397,AB1,1,3130166,13022638
JU561,AB1,1,8174,13022638
JU847,AB1,1,2858470,13022638
LSJ1,AB1,1,3130166,13022638
PX174,AB1,1,11640046,13022638
WN2002,AB1,1,10359277,13022638
AB1,CB4932,1,3130166,13022638
AB1,ED3077,1,2858470,13022638
AB1,EG4724,1,12049247,13022638
AB1,EG4725,1,10768416,13022638
AB1,JU1200,1,10768416,13022638
AB1,JU1395,1,2858470,13022638
AB1,JU1440,1,3130166,13022638
AB1,JU1580,1,4210724,13022638
AB1,JU1586,1,11390480,13022638
AB1,JU1652,1,3777781,13022638
AB1,JU393,1,3414274,13022638
AB1,JU406,1,3130166,13022638
AB1,JU440,1,11640046,13022638
AB1,JU774,1,5730186,13022638
AB1,JU778,1,3130166,13022638
AB1,JU782,1,3414274,13022638
AB1,LKC34,1,6169222,13022638
AB1,PB303,1,3414274,13022638
CB4851,JU561,1,12249177,13022638
CB4851,JU782,1,12249177,13022638
CB4852,JU561,1,5257293,13022638
CB4852,JU782,1,5730186,13022638
CB4853,JU561,1,4683401,13022638
CB4853,JU782,1,4683401,13022638
JU561,CB4932,1,3130166,13022638
CB4932,JU782,1,5730186,13022638
CX11276,JU561,1,12380139,13022638
CX11276,JU782,1,12543743,13022638
ED3012,JU561,1,3130166,13022638
ED3012,JU782,1,5730186,13022638
ED3017,JU561,1,3414274,13022638
ED3017,JU782,1,3414274,13022638
JU346,ED3040,1,6169222,13022638
ED3048,JU561,1,2858470,13022638
ED3048,JU782,1,3777781,13022638
ED3052,JU561,1,2858470,13022638
ED3052,JU782,1,3414274,13022638
JU561,ED3077,1,2858470,13022638
ED3077,JU782,1,3414274,13022638
EG4349,JU346,1,8635520,13022638
JU561,EG4724,1,12049247,13022638
EG4724,JU782,1,12049247,13022638
JU561,EG4725,1,10768416,13022638
EG4725,JU782,1,7958172,13022638
EG4946,JU561,1,11640046,13022638
EG4946,JU782,1,11640046,13022638
JU561,JU1200,1,10768416,13022638
JU1200,JU782,1,3414274,13022638
JU1213,JU561,1,12249177,13022638
JU1213,JU782,1,5730186,13022638
JU1242,JU561,1,3130166,13022638
JU1242,JU782,1,3414274,13022638
JU346,JU1246,1,12049247,13022638
JU561,JU1395,1,2858470,13022638
JU1395,JU782,1,3414274,13022638
JU1409,JU561,1,12543743,13022638
JU1409,JU782,1,12543743,13022638
JU561,JU1440,1,3130166,13022638
JU1440,JU782,1,5730186,13022638
JU1491,JU561,1,3130166,13022638
JU1491,JU782,1,5730186,13022638
JU1568,JU561,1,3130166,13022638
JU1568,JU782,1,3414274,13022638
JU561,JU1580,1,4210724,13022638
JU1580,JU782,1,4210724,13022638
JU561,JU1586,1,11390480,13022638
JU1586,JU782,1,11390480,13022638
JU561,JU1652,1,3777781,13022638
JU1652,JU782,1,3777781,13022638
JU346,JU258,1,9205762,13022638
JU311,JU561,1,3130166,13022638
JU311,JU782,1,3414274,13022638
JU323,JU561,1,2858470,13022638
JU323,JU782,1,5730186,13022638
JU346,JU751,1,6720307,13022638
JU367,JU561,1,3130166,13022638
JU367,JU782,1,5730186,13022638
JU561,JU393,1,3414274,13022638
JU393,JU782,1,3777781,13022638
JU394,JU561,1,3130166,13022638
JU394,JU782,1,3414274,13022638
JU397,JU561,1,3130166,13022638
JU397,JU782,1,3777781,13022638
JU561,JU406,1,3130166,13022638
JU406,JU782,1,3414274,13022638
JU561,JU440,1,11640046,13022638
JU440,JU782,1,11640046,13022638
MY23,JU561,1,12759544,13022638
JU792,JU561,1,3130166,13022638
JU561,JU847,1,2858470,13022638
JU561,LSJ1,1,3130166,13022638
JU561,PX174,1,11640046,13022638
JU561,PX179,1,12759544,13022638
JU561,WN2002,1,10359277,13022638
JU561,JU774,1,5730186,13022638
JU561,JU778,1,3130166,13022638
JU561,JU782,1,3414274,13022638
JU561,LKC34,1,6169222,13022638
JU561,PB303,1,3414274,13022638
MY23,JU774,1,12759544,13022638
JU774,JU782,1,5730186,13022638
MY23,JU778,1,12759544,13022638
JU778,JU782,1,3414274,13022638
MY23,JU782,1,12759544,13022638
JU792,JU782,1,3414274,13022638
JU847,JU782,1,3777781,13022638
LSJ1,JU782,1,3414274,13022638
PX174,JU782,1,11640046,13022638
PX179,JU782,1,12759544,13022638
WN2002,JU782,1,10359277,13022638
JU782,LKC34,1,6169222,13022638
JU782,PB303,1,3414274,13022638
JU1409,AB4,1,12759544,13216900
WN2002,AB4,1,12759544,13216900
CB4851,JU1409,1,12543743,13216900
CB4851,WN2002,1,12249177,13216900
CB4852,JU1409,1,12543743,13216900
CB4852,WN2002,1,10359277,13216900
CB4853,JU1409,1,12543743,13216900
CB4853,WN2002,1,10359277,13216900
JU1409,CB4857,1,12759544,13216900
WN2002,CB4857,1,12759544,13216900
CB4858,JU1409,1,12759544,13216900
CB4858,WN2002,1,12759544,13216900
JU1409,CB4932,1,12543743,13216900
WN2002,CB4932,1,10359277,13216900
JU1409,CX11264,1,12759544,13216900
WN2002,CX11264,1,12759544,13216900
CX11271,JU1409,1,12759544,13216900
CX11271,WN2002,1,12759544,13216900
CX11276,JU1409,1,12543743,13216900
CX11276,WN2002,1,12543743,13216900
CX11285,JU1409,1,12759544,13216900
CX11285,WN2002,1,12759544,13216900
CX11292,JU1409,1,12759544,13216900
CX11292,WN2002,1,12759544,13216900
JU1409,CX11314,1,12759544,13216900
WN2002,CX11314,1,12759544,13216900
CX11315,JU1409,1,12759544,13216900
CX11315,WN2002,1,12759544,13216900
ED3005,JU1409,1,12759544,13216900
ED3005,WN2002,1,12759544,13216900
JU1409,ED3011,1,12759544,13216900
WN2002,ED3011,1,12759544,13216900
ED3012,JU1409,1,12543743,13216900
ED3012,WN2002,1,10359277,13216900
ED3017,JU1409,1,12543743,13216900
ED3017,WN2002,1,10359277,13216900
ED3046,JU1400,1,12759544,13216900
ED3048,JU1409,1,12543743,13216900
ED3048,WN2002,1,10359277,13216900
ED3049,JU1400,1,12759544,13216900
ED3052,JU1409,1,12543743,13216900
ED3052,WN2002,1,10359277,13216900
JU1409,ED3077,1,12543743,13216900
WN2002,ED3077,1,10359277,13216900
EG4347,JU1409,1,12759544,13216900
EG4347,WN2002,1,12759544,13216900
JU1409,EG4724,1,12543743,13216900
WN2002,EG4724,1,12049247,13216900
JU1409,EG4725,1,12543743,13216900
WN2002,EG4725,1,10359277,13216900
EG4946,JU1409,1,12543743,13216900
EG4946,WN2002,1,11640046,13216900
JU1409,JU1172,1,12759544,13216900
WN2002,JU1172,1,12759544,13216900
JU1409,JU1200,1,12543743,13216900
WN2002,JU1200,1,10359277,13216900
JU1213,JU1409,1,12543743,13216900
JU1213,WN2002,1,10359277,13216900
JU1242,JU1409,1,12543743,13216900
JU1242,WN2002,1,10359277,13216900
JU1409,JU1395,1,12543743,13216900
WN2002,JU1395,1,10359277,13216900
MY23,JU1409,1,12759544,13216900
JU1409,JU1491,1,12543743,13216900
JU1409,JU1568,1,12543743,13216900
JU1409,JU311,1,12543743,13216900
JU1409,JU323,1,12543743,13216900
JU1409,JU367,1,12543743,13216900
JU1409,JU394,1,12543743,13216900
JU1409,JU792,1,12543743,13216900
JU1409,JU397,1,12543743,13216900
JU1409,JU847,1,12543743,13216900
JU1409,LSJ1,1,12543743,13216900
JU1409,PX174,1,12543743,13216900
JU1409,PX179,1,12759544,13216900
JU1409,WN2002,1,12543743,13216900
JU1409,JU1440,1,12543743,13216900
JU1409,JU1580,1,12543743,13216900
JU1409,JU1586,1,12543743,13216900
JU1409,JU1652,1,12543743,13216900
JU1409,JU393,1,12543743,13216900
JU1409,JU406,1,12543743,13216900
JU1409,JU440,1,12543743,13216900
JU1409,JU774,1,12543743,13216900
JU1409,JU778,1,12543743,13216900
JU1409,LKC34,1,12543743,13216900
JU1409,MY16,1,12759544,13216900
JU1409,PB303,1,12543743,13216900
JU1409,PB306,1,12759544,13216900
WN2002,JU1440,1,10359277,13216900
JU1491,WN2002,1,10359277,13216900
JU1568,WN2002,1,10359277,13216900
WN2002,JU1580,1,10359277,13216900
WN2002,JU1586,1,11390480,13216900
WN2002,JU1652,1,10359277,13216900
JU311,WN2002,1,10359277,13216900
JU323,WN2002,1,10359277,13216900
JU367,WN2002,1,10359277,13216900
WN2002,JU393,1,10359277,13216900
JU394,WN2002,1,10359277,13216900
JU397,WN2002,1,10359277,13216900
WN2002,JU406,1,10359277,13216900
WN2002,JU440,1,11640046,13216900
WN2002,JU774,1,10359277,13216900
WN2002,JU778,1,10359277,13216900
JU792,WN2002,1,10359277,13216900
JU847,WN2002,1,10359277,13216900
WN2002,LKC34,1,10359277,13216900
LSJ1,WN2002,1,10359277,13216900
WN2002,MY16,1,12759544,13216900
MY23,WN2002,1,12759544,13216900
WN2002,PB303,1,10359277,13216900
WN2002,PB306,1,12759544,13216900
PX174,WN2002,1,11640046,13216900
PX179,WN2002,1,12759544,13216900
JU367,AB4,1,12759544,13351909
AB4,CB4932,1,12759544,13351909
CB4851,JU367,1,12249177,13351909
CB4851,CB4932,1,12249177,13351909
CB4852,JU367,1,7958172,13351909
CB4852,CB4932,1,3130166,13351909
CB4853,JU367,1,10768416,13351909
CB4853,CB4932,1,4683401,13351909
JU367,CB4857,1,12759544,13351909
CB4857,CB4932,1,12759544,13351909
CB4858,JU367,1,12759544,13351909
CB4858,CB4932,1,12759544,13351909
CX11292,CB4932,1,12759544,13351909
CX11315,CB4932,1,12759544,13351909
CX11271,CB4932,1,12759544,13351909
CX11276,CB4932,1,12543743,13351909
CX11285,CB4932,1,12759544,13351909
ED3005,CB4932,1,12759544,13351909
ED3012,CB4932,1,8174,13351909
ED3017,CB4932,1,3414274,13351909
ED3048,CB4932,1,3130166,13351909
ED3052,CB4932,1,3130166,13351909
ED3073,CB4932,1,13022689,13351909
EG4347,CB4932,1,12759544,13351909
EG4349,CB4932,1,13022689,13351909
EG4946,CB4932,1,11640046,13351909
JU310,CB4932,1,13022689,13351909
MY23,CB4932,1,12759544,13351909
JU1212,CB4932,1,13022689,13351909
JU1213,CB4932,1,4210724,13351909
JU1242,CB4932,1,3130166,13351909
JU1491,CB4932,1,3130166,13351909
JU1568,CB4932,1,2858470,13351909
JU311,CB4932,1,2858470,13351909
JU323,CB4932,1,3130166,13351909
JU360,CB4932,1,13022689,13351909
JU367,CB4932,1,2237630,13351909
JU363,CB4932,1,13022689,13351909
JU394,CB4932,1,8174,13351909
JU792,CB4932,1,3130166,13351909
JU397,CB4932,1,3130166,13351909
JU830,CB4932,1,13022689,13351909
JU847,CB4932,1,3130166,13351909
LSJ1,CB4932,1,8174,13351909
MY10,CB4932,1,13022689,13351909
MY18,CB4932,1,13022689,13351909
PX174,CB4932,1,11640046,13351909
PX179,CB4932,1,12759544,13351909
JU258,CB4932,1,13022689,13351909
CB4932,CX11264,1,12759544,13351909
CB4932,CX11307,1,13022689,13351909
CB4932,CX11314,1,12759544,13351909
CB4932,DL200,1,13022689,13351909
CB4932,ED3011,1,12759544,13351909
CB4932,ED3040,1,13022689,13351909
CB4932,ED3077,1,3130166,13351909
CB4932,EG4724,1,12049247,13351909
CB4932,EG4725,1,7958172,13351909
CB4932,JU1088,1,13022689,13351909
CB4932,JU1172,1,12759544,13351909
CB4932,JU1200,1,8174,13351909
CB4932,JU1246,1,13022689,13351909
CB4932,JU1395,1,3130166,13351909
CB4932,JU1440,1,3130166,13351909
CB4932,JU1530,1,13022689,13351909
CB4932,JU1580,1,4210724,13351909
CB4932,JU1586,1,8174,13351909
CB4932,JU1652,1,4210724,13351909
CB4932,JU393,1,3414274,13351909
CB4932,JU406,1,2858470,13351909
CB4932,JU440,1,11640046,13351909
CB4932,JU642,1,13022689,13351909
CB4932,JU751,1,13022689,13351909
CB4932,JU774,1,5730186,13351909
CB4932,JU778,1,3130166,13351909
CB4932,LKC34,1,6169222,13351909
CB4932,MY16,1,12759544,13351909
CB4932,MY1,1,13022689,13351909
CB4932,PB303,1,3414274,13351909
CB4932,PB306,1,12759544,13351909
JU367,CX11264,1,12759544,13351909
CX11271,JU367,1,12759544,13351909
CX11276,JU367,1,12543743,13351909
CX11285,JU367,1,12759544,13351909
CX11292,JU367,1,12759544,13351909
JU367,CX11307,1,13022689,13351909
CX11307,ED3077,1,13022689,13351909
CX11307,JU1440,1,13022689,13351909
JU367,CX11314,1,12759544,13351909
CX11315,JU367,1,12759544,13351909
JU367,DL200,1,13022689,13351909
ED3005,JU367,1,12759544,13351909
JU367,ED3011,1,12759544,13351909
ED3012,JU367,1,2237630,13351909
ED3017,JU367,1,3414274,13351909
JU367,ED3040,1,13022689,13351909
ED3040,KR314,1,13022689,13351909
ED3048,JU367,1,3130166,13351909
ED3052,JU367,1,10768416,13351909
ED3073,JU367,1,13022689,13351909
ED3073,KR314,1,13022689,13351909
JU323,ED3077,1,1047893,13351909
JU367,ED3077,1,3130166,13351909
ED3077,JU1172,1,12759544,13351909
EG4347,JU367,1,12759544,13351909
EG4349,JU367,1,13022689,13351909
EG4349,KR314,1,13022689,13351909
JU367,EG4724,1,12049247,13351909
JU367,EG4725,1,10768416,13351909
EG4946,JU367,1,11640046,13351909
JU367,JU1088,1,13022689,13351909
JU1088,KR314,1,12049247,13351909
JU367,JU1172,1,12759544,13351909
JU1172,JU1440,1,12759544,13351909
JU367,JU1200,1,10768416,13351909
JU1212,JU367,1,13022689,13351909
JU1213,JU367,1,4210724,13351909
JU1242,JU367,1,3130166,13351909
JU367,JU1246,1,13022689,13351909
JU1246,KR314,1,13022689,13351909
JU367,JU1395,1,7958172,13351909
JU323,JU1440,1,3130166,13351909
JU367,JU1440,1,3130166,13351909
JU1440,LKC34,1,6169222,13351909
JU1491,JU367,1,3130166,13351909
JU367,JU1530,1,13022689,13351909
JU1530,KR314,1,13022689,13351909
JU1568,JU367,1,2858470,13351909
JU367,JU1580,1,4210724,13351909
JU367,JU1586,1,7373740,13351909
JU367,JU1652,1,7373740,13351909
JU367,JU258,1,13022689,13351909
JU258,KR314,1,13022689,13351909
JU310,JU367,1,13022689,13351909
JU310,KR314,1,13022689,13351909
JU311,JU367,1,2858470,13351909
JU323,JU367,1,3130166,13351909
JU360,JU367,1,13022689,13351909
JU360,KR314,1,13022689,13351909
JU367,JU363,1,13022689,13351909
JU363,KR314,1,13022689,13351909
MY23,JU367,1,12759544,13351909
JU367,JU394,1,2237630,13351909
JU367,JU792,1,3130166,13351909
JU367,JU397,1,3130166,13351909
JU367,JU830,1,13022689,13351909
JU367,JU847,1,3130166,13351909
JU367,LSJ1,1,7373740,13351909
JU367,MY10,1,13022689,13351909
JU367,MY18,1,13022689,13351909
JU367,PX174,1,11640046,13351909
JU367,PX179,1,12759544,13351909
JU367,JU393,1,3414274,13351909
JU367,JU406,1,2858470,13351909
JU367,JU440,1,11640046,13351909
JU367,JU642,1,13022689,13351909
JU367,JU751,1,13022689,13351909
JU367,JU774,1,5730186,13351909
JU367,JU778,1,7373740,13351909
JU367,LKC34,1,10768416,13351909
JU367,MY16,1,12759544,13351909
JU367,MY1,1,13022689,13351909
JU367,PB303,1,7958172,13351909
JU367,PB306,1,12759544,13351909
JU642,KR314,1,13022689,13351909
JU751,KR314,1,13022689,13351909
JU830,KR314,1,13022689,13351909
MY23,AB4,1,12759544,13580115
AB4,CX11307,1,13022689,13580115
CB4851,MY23,1,12759544,13580115
CB4851,CX11307,1,13022689,13580115
CB4852,MY23,1,12759544,13580115
CB4852,CX11307,1,13022689,13580115
CB4853,MY23,1,12759544,13580115
CB4853,CX11307,1,13022689,13580115
MY23,CB4857,1,12759544,13580115
CB4857,CX11307,1,13022689,13580115
CB4858,MY23,1,12759544,13580115
CB4858,CX11307,1,13022689,13580115
MY23,CX11264,1,12759544,13580115
CX11264,CX11307,1,13022689,13580115
CX11271,MY23,1,12759544,13580115
CX11271,CX11307,1,13022689,13580115
CX11276,MY23,1,12759544,13580115
CX11276,CX11307,1,13022689,13580115
CX11285,MY23,1,12759544,13580115
CX11285,CX11307,1,13022689,13580115
CX11292,MY23,1,12759544,13580115
CX11292,CX11307,1,13022689,13580115
CX11315,CX11307,1,13022689,13580115
ED3005,CX11307,1,13022689,13580115
ED3012,CX11307,1,13022689,13580115
ED3017,CX11307,1,13022689,13580115
ED3048,CX11307,1,13022689,13580115
ED3052,CX11307,1,13022689,13580115
ED3073,CX11307,1,13022689,13580115
EG4347,CX11307,1,13022689,13580115
EG4349,CX11307,1,13022689,13580115
EG4946,CX11307,1,13022689,13580115
JU310,CX11307,1,13022689,13580115
MY23,CX11307,1,13022689,13580115
JU1212,CX11307,1,13022689,13580115
JU1213,CX11307,1,13022689,13580115
JU1242,CX11307,1,13022689,13580115
JU1491,CX11307,1,13022689,13580115
JU1568,CX11307,1,13022689,13580115
JU311,CX11307,1,13022689,13580115
JU323,CX11307,1,13022689,13580115
JU360,CX11307,1,13022689,13580115
JU363,CX11307,1,13022689,13580115
JU394,CX11307,1,13022689,13580115
JU792,CX11307,1,13022689,13580115
JU397,CX11307,1,13022689,13580115
JU561,CX11307,1,13216999,13580115
JU830,CX11307,1,13022689,13580115
JU847,CX11307,1,13022689,13580115
LSJ1,CX11307,1,13022689,13580115
MY10,CX11307,1,13022689,13580115
MY18,CX11307,1,13022689,13580115
PX174,CX11307,1,13022689,13580115
PX179,CX11307,1,13022689,13580115
JU258,CX11307,1,13022689,13580115
CX11307,CX11314,1,13022689,13580115
CX11307,DL200,1,13022689,13580115
CX11307,ED3011,1,13022689,13580115
CX11307,ED3040,1,13022689,13580115
CX11307,EG4724,1,13022689,13580115
CX11307,EG4725,1,13022689,13580115
CX11307,JU1088,1,13022689,13580115
CX11307,JU1172,1,13022689,13580115
CX11307,JU1200,1,13022689,13580115
CX11307,JU1246,1,13022689,13580115
CX11307,JU1395,1,13022689,13580115
CX11307,JU1530,1,13022689,13580115
CX11307,JU1580,1,13022689,13580115
CX11307,JU1586,1,13022689,13580115
CX11307,JU1652,1,13022689,13580115
CX11307,JU393,1,13022689,13580115
CX11307,JU406,1,13022689,13580115
CX11307,JU440,1,13022689,13580115
CX11307,JU642,1,13022689,13580115
CX11307,JU751,1,13022689,13580115
CX11307,JU778,1,13022689,13580115
CX11307,LKC34,1,13022689,13580115
CX11307,MY16,1,13022689,13580115
CX11307,MY1,1,13022689,13580115
CX11307,PB303,1,13022689,13580115
CX11307,PB306,1,13022689,13580115
MY23,CX11314,1,12759544,13580115
CX11315,MY23,1,12759544,13580115
MY23,DL200,1,13022689,13580115
ED3005,MY23,1,12759544,13580115
MY23,ED3011,1,12759544,13580115
ED3012,MY23,1,12759544,13580115
ED3017,MY23,1,12759544,13580115
MY23,ED3040,1,13022689,13580115
ED3048,MY23,1,12759544,13580115
ED3052,MY23,1,12759544,13580115
ED3073,MY23,1,13022689,13580115
MY23,ED3077,1,12759544,13580115
EG4347,MY23,1,12759544,13580115
EG4349,MY23,1,13022689,13580115
MY23,EG4724,1,12759544,13580115
MY23,EG4725,1,12759544,13580115
EG4946,MY23,1,12759544,13580115
MY23,JU1088,1,13216999,13580115
MY23,JU1172,1,12759544,13580115
MY23,JU1200,1,12759544,13580115
MY23,JU1212,1,13022689,13580115
MY23,JU1213,1,12759544,13580115
MY23,JU1242,1,12759544,13580115
MY23,JU1246,1,13022689,13580115
MY23,JU1395,1,12759544,13580115
MY23,JU1440,1,12759544,13580115
MY23,JU1491,1,12759544,13580115
MY23,JU1530,1,13022689,13580115
MY23,JU1568,1,12759544,13580115
MY23,JU1580,1,12759544,13580115
MY23,JU1586,1,12759544,13580115
MY23,JU1652,1,12759544,13580115
MY23,JU258,1,13022689,13580115
JU310,MY23,1,13022689,13580115
MY23,JU311,1,12759544,13580115
MY23,JU323,1,12759544,13580115
MY23,JU360,1,13022689,13580115
MY23,JU363,1,13022689,13580115
MY23,JU393,1,12759544,13580115
MY23,JU394,1,12759544,13580115
MY23,JU397,1,12759544,13580115
MY23,JU406,1,12759544,13580115
MY23,JU440,1,12759544,13580115
MY23,JU561,1,13216999,13580115
MY23,JU642,1,13022689,13580115
MY23,JU751,1,13022689,13580115
MY23,JU774,1,13216999,13580115
MY23,JU778,1,13216999,13580115
MY23,JU792,1,12759544,13580115
MY23,JU830,1,13022689,13580115
MY23,JU847,1,12759544,13580115
MY23,LKC34,1,12759544,13580115
MY23,LSJ1,1,12759544,13580115
MY23,MY1,1,13216999,13580115
MY23,MY10,1,13022689,13580115
MY23,MY16,1,12759544,13580115
MY23,MY18,1,13022689,13580115
MY23,PX174,1,12759544,13580115
MY23,PX179,1,12759544,13580115
MY23,PB303,1,13216999,13580115
MY23,PB306,1,12759544,13580115
PX179,AB4,1,4683401,13845604
AB4,JU1652,1,12759544,13845604
AB4,PS2025,1,13353420,13845604
CB4851,PX179,1,12759544,13845604
CB4851,JU1652,1,12249177,13845604
CB4851,PS2025,1,13353420,13845604
CB4852,PX179,1,12759544,13845604
CB4852,JU1652,1,3777781,13845604
CB4852,PS2025,1,13353420,13845604
CB4853,PX179,1,12759544,13845604
CB4853,JU1652,1,4683401,13845604
CB4853,PS2025,1,13353420,13845604
PX179,CB4857,1,1993056,13845604
CB4857,JU1652,1,12759544,13845604
CB4857,PS2025,1,13353420,13845604
CB4858,PX179,1,4683401,13845604
CB4858,JU1652,1,12759544,13845604
CB4858,PS2025,1,13353420,13845604
PX179,CX11264,1,3414274,13845604
CX11264,JU1652,1,12759544,13845604
CX11264,PS2025,1,13353420,13845604
CX11271,EG4349,1,13022689,13845604
CX11271,JU830,1,13022689,13845604
CX11271,PX179,1,4683401,13845604
CX11271,JU1530,1,13022689,13845604
CX11271,JU1652,1,12759544,13845604
CX11271,PS2025,1,13353420,13845604
CX11276,PX179,1,12759544,13845604
CX11276,JU1652,1,12380139,13845604
CX11276,PS2025,1,13353420,13845604
CX11285,PX179,1,2237630,13845604
CX11285,JU1652,1,12759544,13845604
CX11285,PS2025,1,13353420,13845604
CX11292,PX179,1,4683401,13845604
CX11292,JU1652,1,12759544,13845604
CX11292,PS2025,1,13353420,13845604
PX179,CX11314,1,4683401,13845604
CX11314,JU1652,1,12759544,13845604
CX11314,PS2025,1,13353420,13845604
CX11315,PX179,1,3414274,13845604
CX11315,JU1652,1,12759544,13845604
PX179,DL200,1,13022689,13845604
DL200,JU1652,1,13022689,13845604
DL200,PS2025,1,13353420,13845604
ED3005,PX179,1,4683401,13845604
ED3005,JU1652,1,12759544,13845604
ED3005,PS2025,1,13353420,13845604
PX179,ED3011,1,4683401,13845604
ED3011,JU1652,1,12759544,13845604
ED3011,PS2025,1,13353420,13845604
ED3012,PX179,1,12759544,13845604
ED3012,JU1652,1,3777781,13845604
ED3012,PS2025,1,13353420,13845604
ED3017,PX179,1,12759544,13845604
ED3017,JU1652,1,3777781,13845604
PX179,ED3040,1,13022689,13845604
ED3040,JU1652,1,13022689,13845604
ED3048,PX179,1,12759544,13845604
ED3048,JU1652,1,3777781,13845604
ED3048,PS2025,1,13353420,13845604
ED3052,PX179,1,12759544,13845604
ED3052,JU1652,1,3777781,13845604
ED3052,PS2025,1,13353420,13845604
ED3073,PX179,1,13022689,13845604
ED3073,JU1652,1,13022689,13845604
ED3073,PS2025,1,13353420,13845604
PX179,ED3077,1,12759544,13845604
ED3077,JU1652,1,3777781,13845604
EG4347,PX179,1,2237630,13845604
EG4347,JU1652,1,12759544,13845604
EG4347,PS2025,1,13353420,13845604
EG4349,JU1491,1,13022689,13845604
EG4349,MY10,1,13022689,13845604
EG4349,PX174,1,13022689,13845604
EG4349,PX179,1,13022689,13845604
EG4349,EG4725,1,13022689,13845604
EG4349,JU1652,1,13022689,13845604
EG4349,PB306,1,13022689,13845604
EG4349,PS2025,1,13353420,13845604
PX179,EG4724,1,12759544,13845604
EG4724,JU1652,1,12049247,13845604
EG4724,PS2025,1,13353420,13845604
JU830,EG4725,1,13022689,13845604
PX179,EG4725,1,12759544,13845604
EG4725,JU1530,1,13022689,13845604
EG4725,JU1652,1,10768416,13845604
EG4725,PS2025,1,13353420,13845604
EG4946,PX179,1,12759544,13845604
EG4946,JU1652,1,11640046,13845604
PX179,JU1088,1,13022689,13845604
JU1088,JU1652,1,13022689,13845604
PX179,JU1172,1,4683401,13845604
JU1172,JU1652,1,12759544,13845604
JU1172,PS2025,1,13353420,13845604
PX179,JU1200,1,12759544,13845604
JU1200,JU1652,1,10768416,13845604
JU1200,PS2025,1,13353420,13845604
JU1212,PX179,1,13022689,13845604
JU1212,JU1652,1,13022689,13845604
JU1212,PS2025,1,13353420,13845604
JU1213,PX179,1,12759544,13845604
JU1213,JU1652,1,12249177,13845604
JU1213,PS2025,1,13353420,13845604
JU1242,PX179,1,12759544,13845604
JU1242,JU1652,1,3777781,13845604
JU1242,PS2025,1,13353420,13845604
PX179,JU1246,1,13022689,13845604
JU1246,JU1652,1,13022689,13845604
JU1246,PS2025,1,13353420,13845604
PX179,JU1395,1,12759544,13845604
JU1395,JU1652,1,3777781,13845604
PX179,JU1400,1,13353420,13845604
JU1400,JU1652,1,13353420,13845604
JU1400,PS2025,1,13353420,13845604
PX179,JU1440,1,12759544,13845604
JU1440,JU1652,1,3777781,13845604
JU1491,JU830,1,13022689,13845604
JU1491,PX179,1,12759544,13845604
JU1491,JU1530,1,13022689,13845604
JU1491,JU1652,1,3777781,13845604
JU1491,PS2025,1,13353420,13845604
MY10,JU1530,1,13022689,13845604
PX174,JU1530,1,13022689,13845604
PX179,JU1530,1,13022689,13845604
JU1530,JU1652,1,13022689,13845604
JU1530,PB306,1,13022689,13845604
JU1530,PS2025,1,13353420,13845604
JU1568,PX179,1,12759544,13845604
JU1568,JU1652,1,4210724,13845604
JU1568,PS2025,1,13353420,13845604
PX179,JU1580,1,12759544,13845604
JU1580,JU1652,1,4210724,13845604
JU1580,PS2025,1,13353420,13845604
JU1581,WN2002,1,13353420,13845604
PX179,JU1586,1,12759544,13845604
JU1586,JU1652,1,11390480,13845604
JU1586,PS2025,1,13353420,13845604
JU310,JU1652,1,13022689,13845604
JU311,JU1652,1,4210724,13845604
JU323,JU1652,1,11164731,13845604
JU360,JU1652,1,13022689,13845604
JU363,JU1652,1,13022689,13845604
JU394,JU1652,1,3777781,13845604
JU792,JU1652,1,3777781,13845604
JU397,JU1652,1,3777781,13845604
JU561,JU1652,1,13216999,13845604
JU830,JU1652,1,13022689,13845604
JU847,JU1652,1,3777781,13845604
LSJ1,JU1652,1,3777781,13845604
MY10,JU1652,1,13022689,13845604
MY18,JU1652,1,13022689,13845604
PX174,JU1652,1,11640046,13845604
JU258,JU1652,1,13022689,13845604
JU1652,JU393,1,3777781,13845604
JU1652,JU406,1,3777781,13845604
JU1652,JU440,1,11640046,13845604
JU1652,JU642,1,13022689,13845604
JU1652,JU751,1,13022689,13845604
JU1652,JU774,1,5730186,13845604
JU1652,JU778,1,3777781,13845604
JU1652,LKC34,1,6169222,13845604
JU1652,MY16,1,12759544,13845604
JU1652,MY1,1,13022689,13845604
JU1652,PB303,1,3777781,13845604
JU1652,PB306,1,12759544,13845604
JU1652,PS2025,1,13353420,13845604
PX179,JU258,1,13022689,13845604
JU258,PS2025,1,13353420,13845604
JU310,PX179,1,13022689,13845604
JU310,PS2025,1,13353420,13845604
JU311,PX179,1,12759544,13845604
JU311,PS2025,1,13353420,13845604
JU323,PX179,1,12759544,13845604
JU323,PS2025,1,13353420,13845604
JU346,WN2002,1,13353420,13845604
JU360,PX179,1,13022689,13845604
JU360,PS2025,1,13353420,13845604
JU363,PX179,1,13022689,13845604
JU363,PS2025,1,13353420,13845604
PX179,JU393,1,12759544,13845604
JU393,PS2025,1,13353420,13845604
